timestamp,msg_type,scan_index,dist_or_yaw,pulse_L_or_ax,pulse_R_or_ay,az,gz
12:52:30.953,S,3,88.0,47.9,39.9,,
12:52:31.078,S,3,90.0,48.3,39.9,,
12:52:31.140,S,3,92.0,47.4,39.9,,
12:52:31.197,S,3,94.0,47.4,39.9,,
12:52:31.325,S,3,96.0,47.4,39.9,,
12:52:31.453,S,3,98.0,47.4,39.9,,
12:52:31.517,S,3,100.0,47.4,40.4,,
12:52:31.580,S,3,102.0,47.0,40.4,,
12:52:31.708,S,3,104.0,47.0,40.3,,
12:52:31.770,S,3,106.0,47.0,40.8,,
12:52:31.885,S,3,108.0,47.9,40.8,,
12:52:32.009,S,3,110.0,47.5,40.9,,
12:52:32.072,S,3,112.0,47.5,42.2,,
12:52:32.198,S,3,114.0,47.9,42.6,,
12:52:32.262,S,3,116.0,47.5,43.1,,
12:52:32.387,S,3,118.0,48.4,44.8,,
12:52:32.509,S,3,120.0,48.9,128.3,,
12:52:32.572,S,3,122.0,48.5,127.5,,
12:52:32.700,S,3,124.0,48.9,102.2,,
12:52:32.830,S,3,126.0,124.6,100.9,,
12:52:32.954,S,3,128.0,117.1,100.4,,
12:52:33.080,S,3,130.0,115.8,98.7,,
12:52:33.145,S,3,132.0,106.3,98.3,,
12:52:33.260,S,3,134.0,105.5,97.3,,
12:52:33.388,S,3,136.0,103.7,95.2,,
12:52:33.517,S,3,138.0,108.3,95.1,,
12:52:33.644,S,3,140.0,103.7,95.1,,
12:52:33.723,S,3,142.0,102.8,94.6,,
12:52:33.847,S,3,144.0,106.8,94.2,,
12:52:33.965,S,3,146.0,105.3,93.3,,
12:52:34.092,S,3,148.0,103.6,92.9,,
12:52:34.158,S,3,150.0,98.4,92.8,,
12:52:34.284,S,3,152.0,100.5,92.4,,
12:52:34.412,S,3,154.0,100.6,92.8,,
12:52:34.538,S,3,156.0,101.1,92.3,,
12:52:34.653,S,3,158.0,101.9,91.9,,
12:52:34.780,S,3,160.0,98.5,91.9,,
12:52:34.845,S,3,162.0,103.1,92.2,,
12:52:34.962,S,3,164.0,100.4,91.8,,
12:52:35.091,S,3,166.0,102.2,91.8,,
12:52:35.213,S,3,168.0,102.2,92.2,,
12:52:35.340,S,3,170.0,102.2,91.8,,
12:52:35.468,S,3,172.0,103.9,91.8,,
12:52:35.530,S,3,174.0,103.0,91.8,,
12:52:35.656,S,3,176.0,101.7,91.8,,
12:52:35.781,S,3,178.0,101.7,91.8,,
12:52:35.901,S,3,180.0,101.3,91.8,,
12:52:36.283,STEP,4,10.3,0.075,0.014,0.97,-0.34
12:52:37.037,S,4,0.0,100.8,93.1,,
12:52:37.099,S,4,2.0,100.8,93.9,,
12:52:37.212,S,4,4.0,101.3,93.1,,
12:52:37.341,S,4,6.0,100.4,93.1,,
12:52:37.468,S,4,8.0,101.3,93.9,,
12:52:37.597,S,4,10.0,100.9,93.1,,
12:52:37.725,S,4,12.0,100.4,93.1,,
12:52:37.788,S,4,14.0,100.9,94.4,,
12:52:37.902,S,4,16.0,100.9,93.6,,
12:52:38.028,S,4,18.0,101.4,93.9,,
12:52:38.157,S,4,20.0,101.0,94.0,,
12:52:38.285,S,4,22.0,101.9,94.9,,
12:52:38.348,S,4,24.0,101.1,95.0,,
12:52:38.477,S,4,26.0,101.5,95.8,,
12:52:38.589,S,4,28.0,101.0,95.8,,
12:52:38.718,S,4,30.0,102.4,97.6,,
12:52:38.839,S,4,32.0,102.4,97.7,,
12:52:38.965,S,4,34.0,101.7,102.1,,
12:52:39.087,S,4,36.0,102.1,102.5,,
12:52:39.166,S,4,38.0,103.9,102.2,,
12:52:39.276,S,4,40.0,102.1,102.2,,
12:52:39.404,S,4,42.0,103.9,103.5,,
12:52:39.529,S,4,44.0,102.8,102.2,,
12:52:39.655,S,4,46.0,101.6,102.7,,
12:52:39.780,S,4,48.0,105.2,103.6,,
12:52:39.900,S,4,50.0,107.8,104.0,,
12:52:40.029,S,4,52.0,107.1,104.1,,
12:52:40.092,S,4,54.0,102.0,42.1,,
12:52:40.217,S,4,56.0,221.0,41.3,,
12:52:40.345,S,4,58.0,221.5,41.2,,
12:52:40.471,S,4,60.0,221.0,41.2,,
